Months,From,To,HighTemp,LowTemp,Off-Peak,Mid-Peak,On-Peak
Jan,1/1/2021,2/1/2021,0,-5,997.69,0,0
Feb,2/1/2021,3/1/2021,-1,-9,803.2,29.28,50.78
Mar,3/1/2021,4/1/2021,9,-3,467.88,163.52,203.33
Apr,4/1/2021,5/1/2021,13,3,43.25,130.05,162.57
May,5/1/2021,6/1/2021,20,8,306.28,108.18,70.83
